[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 286 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 287 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 288 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 289 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 290 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 291 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 292 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 293 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 294 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 295 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 296 dbName: test, dbHost: localhost
[2012-04-24-09:47:02][sqlsync.groovy.post.PostSqlSync]: Script synced 297 dbName: test, dbHost: localhost
[2012-04-24-09:46:58][sqlsync.groovy.SqlSync]: SQLSync Completed dbName: test, dbHost: localhost
